@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
3224,'2018/11/05 19:08:59:972',13,0.094488,0.826772,0.17,0.4,0.35
3225,'2018/11/05 19:08:59:992',13,0.094488,0.826772,0.17,0.4,0.35
3226,'2018/11/05 19:09:00:012',13,0.094488,0.826772,0.17,0.4,0.35
3227,'2018/11/05 19:09:00:032',13,0.094488,0.826772,0.17,0.4,0.35
3228,'2018/11/05 19:09:00:052',13,0.094488,0.826772,0.17,0.4,0.35
3229,'2018/11/05 19:09:00:072',13,0.094488,0.826772,0.17,0.4,0.35
3230,'2018/11/05 19:09:00:092',13,0.094488,0.826772,0.17,0.4,0.35
3231,'2018/11/05 19:09:00:112',13,0.094488,0.826772,0.17,0.4,0.35
3232,'2018/11/05 19:09:00:132',13,0.094488,0.826772,0.17,0.4,0.35
3233,'2018/11/05 19:09:00:152',13,0.094488,0.826772,0.17,0.4,0.35
3234,'2018/11/05 19:09:00:172',13,0.094488,0.826772,0.17,0.4,0.35
3235,'2018/11/05 19:09:00:192',13,0.094488,0.826772,0.17,0.4,0.35
3236,'2018/11/05 19:09:00:212',13,0.094488,0.826772,0.17,0.4,0.35
3237,'2018/11/05 19:09:00:232',13,0.094488,0.826772,0.17,0.4,0.35
3238,'2018/11/05 19:09:00:252',13,0.094488,0.826772,0.17,0.4,0.35
3239,'2018/11/05 19:09:00:272',13,0.094488,0.826772,0.17,0.4,0.35
3240,'2018/11/05 19:09:00:292',13,0.094488,0.826772,0.17,0.4,0.35
3241,'2018/11/05 19:09:00:312',13,0.094488,0.826772,0.17,0.4,0.35
3242,'2018/11/05 19:09:00:332',13,0.094488,0.826772,0.17,0.4,0.35
3243,'2018/11/05 19:09:00:352',13,0.094488,0.826772,0.17,0.4,0.35
3244,'2018/11/05 19:09:00:372',13,0.094488,0.826772,0.17,0.4,0.35
3245,'2018/11/05 19:09:00:392',13,0.094488,0.826772,0.17,0.4,0.35
3246,'2018/11/05 19:09:00:412',13,0.094488,0.826772,0.17,0.4,0.35
3247,'2018/11/05 19:09:00:432',13,0.094488,0.826772,0.17,0.4,0.35
3248,'2018/11/05 19:09:00:452',13,0.094488,0.826772,0.17,0.4,0.35
3249,'2018/11/05 19:09:00:472',13,0.094488,0.826772,0.17,0.4,0.35
3250,'2018/11/05 19:09:00:492',13,0.094488,0.826772,0.17,0.4,0.35
3251,'2018/11/05 19:09:00:512',13,0.094488,0.826772,0.17,0.4,0.35
3252,'2018/11/05 19:09:00:532',13,0.094488,0.826772,0.17,0.4,0.35
3253,'2018/11/05 19:09:00:552',13,0.094488,0.826772,0.17,0.4,0.35
3254,'2018/11/05 19:09:00:572',13,0.094488,0.826772,0.17,0.4,0.35
3255,'2018/11/05 19:09:00:592',13,0.094488,0.826772,0.17,0.4,0.35
3256,'2018/11/05 19:09:00:612',13,0.094488,0.826772,0.17,0.4,0.35
3257,'2018/11/05 19:09:00:632',13,0.094488,0.826772,0.17,0.4,0.35
3258,'2018/11/05 19:09:00:652',13,0.094488,0.826772,0.17,0.4,0.35
3259,'2018/11/05 19:09:00:672',13,0.094488,0.826772,0.17,0.4,0.35
3260,'2018/11/05 19:09:00:692',13,0.094488,0.826772,0.17,0.4,0.35
3261,'2018/11/05 19:09:00:712',13,0.094488,0.826772,0.17,0.4,0.35
3262,'2018/11/05 19:09:05:132',14,0.094488,0.826772,0.87,0.87,0.63
3263,'2018/11/05 19:09:05:152',14,0.094488,0.826772,0.87,0.87,0.63
3264,'2018/11/05 19:09:05:172',14,0.094488,0.826772,0.87,0.87,0.63
3265,'2018/11/05 19:09:05:192',14,0.094488,0.826772,0.87,0.87,0.63
3266,'2018/11/05 19:09:05:212',14,0.094488,0.826772,0.87,0.87,0.63
3267,'2018/11/05 19:09:05:232',14,0.094488,0.826772,0.87,0.87,0.63
3268,'2018/11/05 19:09:05:252',14,0.094488,0.826772,0.87,0.87,0.63
3269,'2018/11/05 19:09:05:272',14,0.094488,0.826772,0.87,0.87,0.63
3270,'2018/11/05 19:09:05:292',14,0.094488,0.826772,0.87,0.87,0.63
3271,'2018/11/05 19:09:05:312',14,0.094488,0.826772,0.87,0.87,0.63
3272,'2018/11/05 19:09:05:332',14,0.094488,0.826772,0.87,0.87,0.63
3273,'2018/11/05 19:09:05:352',14,0.094488,0.826772,0.87,0.87,0.63
3274,'2018/11/05 19:09:05:372',14,0.094488,0.826772,0.87,0.87,0.63
3275,'2018/11/05 19:09:05:392',14,0.094488,0.826772,0.87,0.87,0.63
3276,'2018/11/05 19:09:05:412',14,0.094488,0.826772,0.87,0.87,0.63
3277,'2018/11/05 19:09:05:432',14,0.094488,0.826772,0.87,0.87,0.63
3278,'2018/11/05 19:09:05:452',14,0.094488,0.826772,0.87,0.87,0.63
3279,'2018/11/05 19:09:05:472',14,0.094488,0.826772,0.87,0.87,0.63
3280,'2018/11/05 19:09:05:492',14,0.094488,0.826772,0.87,0.87,0.63
3281,'2018/11/05 19:09:05:512',14,0.094488,0.826772,0.87,0.87,0.63
3282,'2018/11/05 19:09:05:532',14,0.094488,0.826772,0.87,0.87,0.63
3283,'2018/11/05 19:09:05:552',14,0.094488,0.826772,0.87,0.87,0.63
3284,'2018/11/05 19:09:05:572',14,0.094488,0.826772,0.87,0.87,0.63
3285,'2018/11/05 19:09:05:592',14,0.094488,0.826772,0.87,0.87,0.63
3286,'2018/11/05 19:09:05:612',14,0.094488,0.826772,0.87,0.87,0.63
3287,'2018/11/05 19:09:05:632',14,0.094488,0.826772,0.87,0.87,0.63
3288,'2018/11/05 19:09:05:652',14,0.094488,0.826772,0.87,0.87,0.63
3289,'2018/11/05 19:09:05:672',14,0.094488,0.826772,0.87,0.87,0.63
3290,'2018/11/05 19:09:05:692',14,0.094488,0.826772,0.87,0.87,0.63
3291,'2018/11/05 19:09:05:775',14,0.094488,0.826772,0.87,0.87,0.63
3292,'2018/11/05 19:09:05:795',14,0.094488,0.826772,0.87,0.87,0.63
3293,'2018/11/05 19:09:05:815',14,0.094488,0.826772,0.87,0.87,0.63
3294,'2018/11/05 19:09:05:835',14,0.094488,0.826772,0.87,0.87,0.63
