@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
65,'2018/11/05 19:17:35:810',1,0.002701,0.020805,0.014976,0.006612,0.008871,0.005772,0.004184,0.00282,0.002596,0.001546,0.001646,0.00195,0.001765,0.00094,0.000874,0.000541,0.000727,0.000445,0.000424,0.000268,0.000293,0.000274,0.000256,0.000282,0.00017,1
66,'2018/11/05 19:17:35:822',1,0.007709,0.016363,0.017216,0.00519,0.007074,0.00428,0.003579,0.003848,0.002396,0.002731,0.00255,0.001585,0.002144,0.001433,0.001105,0.000619,0.0007,0.00053,0.000367,0.00028,0.000248,0.000241,0.000242,0.00028,0.000215,1
67,'2018/11/05 19:17:35:834',1,0.010258,0.018118,0.018447,0.00523,0.006486,0.002702,0.002059,0.00326,0.002553,0.003318,0.00233,0.001255,0.002148,0.001643,0.001288,0.00068,0.00055,0.000663,0.000331,0.000301,0.00026,0.000236,0.000236,0.00031,0.000171,1
68,'2018/11/05 19:17:35:845',1,0.003755,0.012504,0.024544,0.007209,0.005816,0.00424,0.003913,0.004762,0.002467,0.003399,0.00142,0.001579,0.001934,0.001659,0.000982,0.000541,0.000479,0.000588,0.000341,0.000307,0.000265,0.00024,0.000238,0.000294,0.000192,1
69,'2018/11/05 19:17:35:857',1,0.008545,0.014765,0.025861,0.009984,0.005846,0.003696,0.004519,0.003788,0.002478,0.002788,0.002042,0.002072,0.00125,0.001672,0.001071,0.000609,0.000597,0.000463,0.00036,0.000288,0.000309,0.000212,0.000198,0.000259,0.000228,1
70,'2018/11/05 19:17:35:869',1,0.010217,0.012297,0.011425,0.011003,0.007619,0.002987,0.002721,0.003122,0.002209,0.002199,0.001858,0.001374,0.001571,0.001583,0.00123,0.000765,0.000639,0.000479,0.000325,0.000269,0.0003,0.000205,0.000224,0.00027,0.000209,1
71,'2018/11/05 19:17:35:880',1,0.00563,0.011534,0.018035,0.020608,0.007581,0.002792,0.002064,0.002901,0.002734,0.001605,0.002413,0.002568,0.002052,0.001822,0.001075,0.000681,0.000595,0.000482,0.000354,0.000296,0.000315,0.000235,0.00023,0.000271,0.00018,1
72,'2018/11/05 19:17:35:892',1,0.008351,0.012043,0.023331,0.011987,0.009522,0.002667,0.00359,0.003949,0.002868,0.002206,0.001788,0.001823,0.001951,0.00117,0.001235,0.000741,0.000672,0.000501,0.00037,0.000314,0.000326,0.000245,0.000243,0.00028,0.000157,1
73,'2018/11/05 19:17:35:903',1,0.00958,0.014453,0.018572,0.007233,0.007391,0.004575,0.003353,0.003125,0.002293,0.002559,0.001481,0.001704,0.001051,0.001326,0.001027,0.000703,0.000642,0.000596,0.00041,0.000342,0.000289,0.000213,0.000264,0.000289,0.000163,1
74,'2018/11/05 19:17:35:915',1,0.008594,0.010172,0.012573,0.010577,0.009191,0.006625,0.004421,0.001598,0.001768,0.001784,0.002304,0.001715,0.000998,0.001844,0.000888,0.000859,0.000561,0.000546,0.000349,0.000305,0.000315,0.000274,0.000222,0.000314,0.000158,1
75,'2018/11/05 19:17:35:927',1,0.006732,0.007155,0.019917,0.008407,0.004313,0.003352,0.004695,0.0016,0.001646,0.002497,0.001883,0.001457,0.001604,0.00143,0.000944,0.00074,0.000602,0.00049,0.000351,0.000306,0.000274,0.000272,0.000227,0.000296,0.000155,1
76,'2018/11/05 19:17:35:938',1,0.007931,0.005401,0.012797,0.009362,0.006146,0.002083,0.004322,0.00157,0.002577,0.002315,0.002434,0.001587,0.001924,0.001628,0.000953,0.000598,0.000612,0.000439,0.000454,0.000295,0.000298,0.000279,0.000248,0.000271,0.000163,1
77,'2018/11/05 19:17:35:950',1,0.011268,0.015208,0.013873,0.010342,0.005996,0.003446,0.003665,0.003182,0.003162,0.00153,0.001645,0.001486,0.001901,0.000934,0.001129,0.000505,0.000611,0.000375,0.000422,0.000329,0.000342,0.000302,0.000306,0.000268,0.00017,1
78,'2018/11/05 19:17:35:963',1,0.005423,0.016525,0.008325,0.011196,0.009786,0.006317,0.004622,0.00225,0.00352,0.002647,0.001879,0.00175,0.00266,0.001202,0.000793,0.000417,0.000421,0.000359,0.000393,0.000337,0.000314,0.000239,0.000271,0.000271,0.000179,1
79,'2018/11/05 19:17:35:974',1,0.002193,0.018798,0.008456,0.019896,0.010772,0.004582,0.004326,0.002245,0.002643,0.001806,0.001731,0.001799,0.00253,0.001094,0.000938,0.000463,0.000583,0.000512,0.000427,0.000296,0.000254,0.000276,0.000268,0.000243,0.00015,1
80,'2018/11/05 19:17:35:985',1,0.002617,0.015752,0.012718,0.0146,0.007784,0.002862,0.005228,0.002416,0.00154,0.001795,0.00238,0.001431,0.002078,0.001027,0.000871,0.000568,0.000758,0.001041,0.000383,0.000373,0.00036,0.000458,0.000336,0.000592,0.000185,1
